,DATE,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11)
0,2000-01-01,171.78900000000004,12.695,180.73256,9.04,2.503,-6.291,32.01,56.0,4.45,263.8,801.8539999999998,0.0,0.339,0.0,0.1928
1,2000-01-02,419.047,921.094,179.57518000000005,6.202000000000001,-0.541,-11.64,24.73,10.0,2.95,144.8,807.0419999999998,0.0,0.392,0.0,0.2254
2,2000-01-03,386.489,885.431,179.97331,6.777,0.106,-10.537,25.55,9.0,6.45,275.7,815.566,0.0,0.423,0.0,0.2273
3,2000-01-04,362.1595,603.4010000000001,179.98443500000002,14.25,4.968999999999999,-6.154000000000001,22.1,42.0,2.45,135.1,817.3745000000001,0.0,0.4745,0.0,0.2176
4,2000-01-05,388.22400000000005,890.7109999999999,179.86721,3.3335,-1.2195,-8.303,39.675,10.0,3.45,59.33,821.0865,0.0,0.4270000000000001,0.0,0.22785
5,2000-01-06,419.079,936.005,179.88199,3.682,-2.5,-15.093,20.6,9.0,5.45,287.0,820.796,0.0,0.35600000000000004,0.0,0.2304
6,2000-01-07,420.45799999999997,906.2505000000001,179.898915,11.4,2.6485000000000003,-9.911000000000001,19.494999999999997,16.0,3.2,118.25,819.8729999999998,0.0,0.461,0.0,0.2266
7,2000-01-08,381.815,915.233,179.9181,13.44,3.134,-11.382,15.91,12.0,2.45,135.1,804.7589999999999,0.0,0.399,0.0,0.2246
8,2000-01-09,389.526,826.857,179.54565,4.97,-1.358,-12.197,24.35,14.0,2.95,133.7,807.933,0.0,0.404,0.0,0.2241
9,2000-01-10,308.3845,650.7745,180.621985,-0.7324999999999999,-4.105,-10.489,45.43,21.5,3.7,91.7,815.9105000000001,0.0,0.4225,0.0,0.2266
10,2000-01-11,419.499,908.499,176.69277,3.306,-1.825,-10.455,34.02,11.0,2.2,100.0,808.066,0.0,0.337,0.0,0.2265
11,2000-01-12,433.473,934.441,179.49043999999995,3.92,-2.681,-16.682000000000002,16.83,9.0,4.2,268.9,810.084,0.0,0.354,0.0,0.22899999999999998
12,2000-01-13,313.209,836.22,180.05198,1.6165,-3.0895,-12.370000000000001,31.58,14.0,2.7,257.8,809.476,0.0,0.3985,0.0,0.2314
13,2000-01-14,443.169,961.221,179.954035,11.8,1.817,-14.1655,13.15,10.0,4.45,238.4,808.0855000000001,0.0,0.3695,0.0,0.22925
14,2000-01-15,437.6895,936.6645,179.591375,3.7664999999999997,-1.305,-9.1935,34.26,8.0,3.2,32.209999999999994,817.7270000000001,0.0,0.398,0.0,0.23165
15,2000-01-16,296.516,148.787,179.63103,0.631,-3.322,-10.461,39.16,88.0,1.7,41.6,818.7139999999998,0.0,0.322,0.0,0.2058
16,2000-01-17,440.451,872.398,179.53957,8.21,1.421,-7.362,29.52,23.0,8.45,263.2,805.8389999999998,0.0,0.472,0.0,0.2283
17,2000-01-18,397.651,770.74,179.9896,4.147,-2.498,-16.744,16.81,28.0,2.45,96.0,821.34,0.0,0.396,0.0,0.2229
18,2000-01-19,444.73850000000004,842.8509999999999,180.04012,5.418,-0.5459999999999999,-10.0615,28.91,14.0,2.2,116.35,826.6790000000001,0.0,0.532,0.0,0.2297
19,2000-01-20,405.49249999999995,581.3555,179.958525,7.9399999999999995,-0.3395,-16.2685,13.66,40.5,1.7,99.25,824.4855,0.0,0.3815,0.0,0.2245
20,2000-01-21,173.74,2.40849,180.01586,8.69,2.041,-6.555,31.04,98.0,0.45,19.77,813.132,0.0,0.402,0.0,0.1854
21,2000-01-22,254.8055,46.83385,179.530165,7.459,0.8585,-8.5815,28.06,80.0,7.2,292.6,811.7335,0.0,0.4445,0.0,0.20285
22,2000-01-23,247.537,147.49,182.88593,2.704,-2.091,-10.254,34.57,41.0,3.45,126.5,817.873,0.0,0.488,0.0,0.2087
23,2000-01-24,471.797,805.58,179.52245,10.84,2.708,-8.047,23.87,34.0,3.95,250.3,814.3760000000002,0.0,0.424,0.0,0.2209
24,2000-01-25,485.2475,967.9680000000001,179.59309,9.985,2.0865,-8.941,22.85,11.0,5.45,272.3,815.1324999999999,0.0,0.447,0.0,0.2248
25,2000-01-26,288.272,171.27599999999995,179.94585,10.2,2.139,-8.979,22.67,62.0,1.95,144.4,815.7719999999998,0.0,0.436,0.0,0.2089
26,2000-01-27,121.384,0.850625,175.7056,3.2460000000000004,0.274,-3.272,57.78,97.0,1.45,40.82,813.1060000000001,0.0,0.465,0.0,0.1825
27,2000-01-28,502.502,971.8405,179.97116499999998,5.651,-0.6765,-11.1405,26.134999999999998,9.0,3.45,123.9,816.3684999999999,0.0,0.6054999999999999,0.0,0.2287
28,2000-01-29,331.1055,147.9125,184.138485,4.455,0.354,-5.163,47.614999999999995,85.5,2.7,140.95,815.99,0.0,0.581,0.0,0.20450000000000002
29,2000-01-30,228.51049999999998,14.50505,179.87107,2.5665000000000004,-1.5245,-7.5615000000000006,43.43,94.0,3.7,55.459999999999994,813.9929999999999,0.0,0.49150000000000005,0.0,0.19895
30,2000-01-31,387.049,299.449,179.96829,8.76,0.32299999999999995,-14.263,15.21,65.0,7.45,282.9,817.497,0.254,0.562,0.0,0.2209
31,2000-02-01,399.5285,265.797,180.070405,14.76,3.7445000000000004,-12.969999999999999,11.524999999999999,76.5,10.95,278.2,818.88,0.0,0.5055000000000001,0.0,0.2138
32,2000-02-02,534.1215,1001.935,180.03406999999999,20.78,6.4544999999999995,-13.035,8.06,12.0,3.95,191.85000000000002,809.6825,0.0,0.513,0.0,0.22085
33,2000-02-03,124.9425,0.7937565,185.46983,-8.07,-8.336500000000001,-8.839,93.4,97.0,2.95,52.525,806.391,0.0,1.0665,1.0,0.70415
34,2000-02-04,346.466,2.37386,179.97240000000002,-7.5794999999999995,-8.083,-9.1145,89.6,96.0,1.7,23.505000000000003,815.5285000000001,0.762,17.509999999999998,1.0,0.8522
35,2000-02-05,568.3454999999999,969.086,179.94713000000002,-4.082,-6.978,-14.369,45.705,4.0,0.95,117.80000000000001,808.8065,5.8420000000000005,11.895,0.0,0.8429
36,2000-02-06,305.158,5.771375000000001,179.92559,1.569,-2.692,-9.757,38.230000000000004,96.0,8.2,292.85,802.865,0.0,6.915499999999998,0.0,0.7588
37,2000-02-07,131.727,0.593457,147.59503,-5.001,-5.348,-5.845,93.1,96.0,1.2,208.1,811.175,0.0,17.16,1.0,0.9132
38,2000-02-08,582.6400000000001,1010.7349999999999,179.89379000000002,6.999499999999999,2.2405,-3.0555000000000003,48.629999999999995,4.0,1.95,87.8,806.961,11.43,20.869999999999997,0.0,0.8318
39,2000-02-09,410.7355,19.14415,181.66808,-3.4725,-4.455,-6.061,80.15,97.0,2.45,24.46,818.0654999999999,4.3180000000000005,19.83,0.0,0.8539
40,2000-02-10,457.503,113.12,179.4284,-1.632,-4.363,-8.622,54.46,76.0,2.7,158.9,816.4639999999998,0.0,17.03,0.0,0.838
41,2000-02-11,612.439,1012.0550000000001,179.874335,-0.543,-3.9555,-10.307500000000001,44.775000000000006,4.0,1.325,124.2,814.7384999999999,4.8260000000000005,25.215,0.0,0.8274
42,2000-02-12,207.019,1.36992,182.14372,-2.336,-4.11,-7.84,62.21,96.0,1.7,56.09,814.0089999999999,0.0,20.52,0.0,0.8503
