,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11),DATE
10589,119.249,418.198,130.06849,4.05,-1.724,-11.824000000000002,27.0,8,1.45,287.1,809.0260000000002,0.0,0.185,0.0,0.2491,2000-01-08 08:29:00
10590,126.952,450.052,130.24983,4.117,-1.639,-11.439,27.82,10,3.2,265.7,809.0110000000002,0.0,0.048,0.0,0.2507,2000-01-08 08:30:00
10591,141.42600000000004,523.418,130.43158,3.908,-1.65,-10.95,29.5,11,2.45,278.8,809.0,0.0,0.532,0.0,0.2554,2000-01-08 08:31:00
10592,169.142,669.56,130.61373999999998,3.664,-1.838,-11.138,29.51,15,2.7,278.8,808.9739999999998,0.0,0.095,0.0,0.2631,2000-01-08 08:32:00
10593,183.328,737.699,130.79632,3.5610000000000004,-1.885,-11.185,29.6,17,3.2,281.0,808.947,0.0,0.134,0.0,0.2665,2000-01-08 08:33:00
10594,192.234,774.36,130.97931,3.553,-1.969,-11.469,28.87,17,2.7,280.4,808.914,0.0,0.196,0.0,0.2664,2000-01-08 08:34:00
10595,183.518,718.6,131.16272,3.626,-1.86,-11.16,29.53,16,2.2,295.5,808.9069999999998,0.0,0.119,0.0,0.2605,2000-01-08 08:35:00
10596,188.786,743.9110000000002,131.34654,3.655,-1.774,-11.074000000000002,29.7,15,2.7,292.4,808.9060000000002,0.0,0.13699999999999998,0.0,0.2623,2000-01-08 08:36:00
10597,193.285,759.362,131.53079,3.713,-1.786,-11.286,29.02,16,1.7,300.3,808.888,0.0,0.179,0.0,0.2613,2000-01-08 08:37:00
10598,196.105,768.597,131.71546,3.803,-1.735,-11.235,28.97,16,2.45,300.6,808.867,0.0,0.172,0.0,0.2619,2000-01-08 08:38:00
10599,201.695,790.154,131.90055,3.946,-1.6880000000000002,-11.188,28.8,16,1.7,295.1,808.855,0.0,0.224,0.0,0.2629,2000-01-08 08:39:00
10600,203.386,792.132,132.08607,4.158,-1.628,-11.328,28.02,13,1.7,297.2,808.8439999999998,0.0,0.26,0.0,0.262,2000-01-08 08:40:00
10601,199.025,760.554,132.27201000000002,4.398,-1.444,-11.244000000000002,27.76,12,1.95,294.5,808.834,0.0,0.243,0.0,0.2585,2000-01-08 08:41:00
